集計年,都道府県コード,都道府県名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2011,27,大阪府,20～24歳,20.4,36.94,281.74
2011,27,大阪府,25～29歳,23.42,57.82,338.86
2011,27,大阪府,30～34歳,27.07,73.11,397.95
2011,27,大阪府,35～39歳,31.3,87.24,462.84
2011,27,大阪府,40～44歳,35.27,103.32,526.56
2011,27,大阪府,45～49歳,39.18,120.8,590.96
2011,27,大阪府,50～54歳,38.75,121.25,586.25
2011,27,大阪府,55～59歳,37.22,104.08,550.72
2011,27,大阪府,60～64歳,27.84,53.64,387.72
2011,27,大阪府,65～69歳,25.36,34.02,338.34
2011,27,大阪府,70歳～,40.07,34.98,515.82
2011,28,兵庫県,年齢計,29.61,81.41,436.73
2011,28,兵庫県,～19歳,16.81,8.59,210.31
2011,28,兵庫県,20～24歳,19.82,35.11,272.95
2011,28,兵庫県,25～29歳,22.68,56.96,329.12
2011,28,兵庫県,30～34歳,25.94,65.74,377.02
2011,28,兵庫県,35～39歳,29.87,83.8,442.24
2011,28,兵庫県,40～44歳,33.11,101.91,499.23
2011,28,兵庫県,45～49歳,34.59,107.8,522.88
2011,28,兵庫県,50～54歳,36.45,108.52,545.92
2011,28,兵庫県,55～59歳,35.4,109.35,534.15
2011,28,兵庫県,60～64歳,27.31,52.37,380.09
2011,28,兵庫県,65～69歳,25.7,31.38,339.78
2011,28,兵庫県,70歳～,24.16,30.55,320.47
2011,29,奈良県,年齢計,29.46,72.07,425.59
2011,29,奈良県,～19歳,17.39,8,216.68
2011,29,奈良県,20～24歳,20.53,34.69,281.05
2011,29,奈良県,25～29歳,23.01,54.42,330.54
2011,29,奈良県,30～34歳,26.76,64.01,385.13
2011,29,奈良県,35～39歳,29.65,71.83,427.63
2011,29,奈良県,40～44歳,32.94,84.18,479.46
2011,29,奈良県,45～49歳,34.8,96.81,514.41
2011,29,奈良県,50～54歳,36.63,98.3,537.86
2011,29,奈良県,55～59歳,33.59,93.24,496.32
2011,29,奈良県,60～64歳,26.63,47.3,366.86
2011,29,奈良県,65～69歳,22.26,36.2,303.32
2011,29,奈良県,70歳～,35.05,16.4,437
2011,30,和歌山県,年齢計,26.44,72.98,390.26
2011,30,和歌山県,～19歳,16.3,20.06,215.66
2011,30,和歌山県,20～24歳,18.22,32.71,251.35
2011,30,和歌山県,25～29歳,21.14,54.09,307.77
2011,30,和歌山県,30～34歳,23.69,68.04,352.32
2011,30,和歌山県,35～39歳,26.47,75.39,393.03
2011,30,和歌山県,40～44歳,29.55,82.7,437.3
2011,30,和歌山県,45～49歳,30.71,92.47,460.99
2011,30,和歌山県,50～54歳,30.46,91.98,457.5
2011,30,和歌山県,55～59歳,32.24,98.66,485.54
2011,30,和歌山県,60～64歳,21.47,38.23,295.87
2011,30,和歌山県,65～69歳,22.32,38.01,305.85
2011,30,和歌山県,70歳～,24.83,52.41,350.37
2011,31,鳥取県,年齢計,24.33,53.91,345.87
2011,31,鳥取県,～19歳,15.61,9.5,196.82
2011,31,鳥取県,20～24歳,17.28,28.23,235.59
2011,31,鳥取県,25～29歳,19.59,43.82,278.9
2011,31,鳥取県,30～34歳,21.48,47.75,305.51
2011,31,鳥取県,35～39歳,24.69,58.79,355.07
2011,31,鳥取県,40～44歳,25.86,61.99,372.31
2011,31,鳥取県,45～49歳,27.59,68.73,399.81
2011,31,鳥取県,50～54歳,28.99,70.61,418.49
2011,31,鳥取県,55～59歳,27.63,57.11,388.67
2011,31,鳥取県,60～64歳,22.3,30.91,298.51
2011,31,鳥取県,65～69歳,19.86,23.04,261.36
2011,31,鳥取県,70歳～,24.43,34.65,327.81
2011,32,島根県,年齢計,24.5,57.42,351.42
2011,32,島根県,～19歳,16.1,9.14,202.34
2011,32,島根県,20～24歳,18.04,30.5,246.98
2011,32,島根県,25～29歳,20.13,43.67,285.23
2011,32,島根県,30～34歳,22.12,50.41,315.85
2011,32,島根県,35～39歳,24.4,59.29,352.09
2011,32,島根県,40～44歳,26.61,71.29,390.61
2011,32,島根県,45～49歳,27.75,73.21,406.21
2011,32,島根県,50～54歳,30.11,76.35,437.67
2011,32,島根県,55～59歳,27.87,67.08,401.52
2011,32,島根県,60～64歳,22.31,36.38,304.1
2011,32,島根県,65～69歳,19.79,23.79,261.27
2011,32,島根県,70歳～,19.8,22.07,259.67
2011,33,岡山県,年齢計,26.78,72.8,394.16
2011,33,岡山県,～19歳,16.79,10.47,211.95
2011,33,岡山県,20～24歳,18.93,35.57,262.73
2011,33,岡山県,25～29歳,21.3,48.07,303.67
2011,33,岡山県,30～34歳,23.92,62.16,349.2
2011,33,岡山県,35～39歳,26.66,75.34,395.26
2011,33,岡山県,40～44歳,28.58,83.58,426.54
2011,33,岡山県,45～49歳,30.8,96.61,466.21
2011,33,岡山県,50～54歳,32.89,100.12,494.8
2011,33,岡山県,55～59歳,33.6,97.5,500.7
2011,33,岡山県,60～64歳,23.77,51.7,336.94
2011,33,岡山県,65～69歳,20.61,36.03,283.35
2011,33,岡山県,70歳～,24.4,49.3,342.1
2011,34,広島県,年齢計,27.77,79.46,412.7
2011,34,広島県,～19歳,16.65,10.71,210.51
2011,34,広島県,20～24歳,19.04,39.15,267.63
2011,34,広島県,25～29歳,21.4,56.49,313.29
2011,34,広島県,30～34歳,24.82,61.83,359.67
2011,34,広島県,35～39歳,27.68,79.47,411.63
2011,34,広島県,40～44歳,30.14,91.88,453.56
2011,34,広島県,45～49歳,33.51,104.34,506.46
2011,34,広島県,50～54歳,34.58,105.42,520.38
2011,34,広島県,55～59歳,34.29,114.92,526.4
2011,34,広島県,60～64歳,25.28,68.33,371.69
2011,34,広島県,65～69歳,21.52,41.12,299.36
2011,34,広島県,70歳～,35.81,98.97,528.69
2011,35,山口県,年齢計,26.06,71.09,383.81
2011,35,山口県,～19歳,16.3,11.6,207.2
2011,35,山口県,20～24歳,18.54,37.91,260.39
2011,35,山口県,25～29歳,20.76,52.67,301.79
2011,35,山口県,30～34歳,23.52,62.12,344.36
2011,35,山口県,35～39歳,26.84,73.59,395.67
2011,35,山口県,40～44歳,28.9,85.63,432.43
2011,35,山口県,45～49歳,31.08,95.95,468.91
2011,35,山口県,50～54歳,30.89,96,466.68
2011,35,山口県,55～59歳,31.29,92.59,468.07
2011,35,山口県,60～64歳,21.59,40.78,299.86
2011,35,山口県,65～69歳,23.02,35.69,311.93
2011,35,山口県,70歳～,18.77,26.82,252.06
2011,36,徳島県,年齢計,26.49,71.71,389.59
2011,36,徳島県,～19歳,16.26,13.16,208.28
2011,36,徳島県,20～24歳,18.56,35.04,257.76
2011,36,徳島県,25～29歳,20.82,53.18,303.02
2011,36,徳島県,30～34歳,24.22,61.16,351.8
2011,36,徳島県,35～39歳,26.02,70.71,382.95
2011,36,徳島県,40～44歳,29.27,93.49,444.73
2011,36,徳島県,45～49歳,28.94,84.64,431.92
2011,36,徳島県,50～54歳,31.58,98.3,477.26
2011,36,徳島県,55～59歳,32.1,91.88,477.08
2011,36,徳島県,60～64歳,23.66,40.63,324.55
2011,36,徳島県,65～69歳,26.28,24.46,339.82
2011,36,徳島県,70歳～,21.26,23.32,278.44
2011,37,香川県,年齢計,26.85,73.63,395.83
2011,37,香川県,～19歳,17.52,10,220.24
2011,37,香川県,20～24歳,18.76,33.86,258.98
2011,37,香川県,25～29歳,21.24,52.64,307.52
2011,37,香川県,30～34歳,24.29,64.81,356.29
2011,37,香川県,35～39歳,26.88,79.68,402.24
2011,37,香川県,40～44歳,29.96,88.37,447.89
2011,37,香川県,45～49歳,31.87,101.4,483.84
2011,37,香川県,50～54歳,33.06,100.56,497.28
2011,37,香川県,55～59歳,31.31,87.95,463.67
2011,37,香川県,60～64歳,22.84,42.46,316.54
2011,37,香川県,65～69歳,19.36,22.32,254.64
2011,37,香川県,70歳～,22.79,23.5,296.98
2011,38,愛媛県,年齢計,25.17,66.01,368.05
2011,38,愛媛県,～19歳,15.27,6.33,189.57
2011,38,愛媛県,20～24歳,17.28,33.91,241.27
2011,38,愛媛県,25～29歳,20.32,54.91,298.75
2011,38,愛媛県,30～34歳,23.07,66.19,343.03
2011,38,愛媛県,35～39歳,25.78,66.31,375.67
2011,38,愛媛県,40～44歳,27.64,80.39,412.07
2011,38,愛媛県,45～49歳,30.35,89.28,453.48
2011,38,愛媛県,50～54歳,29.62,79.17,434.61
2011,38,愛媛県,55～59歳,28.12,72.74,410.18
2011,38,愛媛県,60～64歳,24.05,44.45,333.05
2011,38,愛媛県,65～69歳,21.74,32.87,293.75
2011,38,愛媛県,70歳～,19.4,31.7,264.5
2011,39,高知県,年齢計,24.46,57.11,350.63
2011,39,高知県,～19歳,14.86,5.55,183.87
2011,39,高知県,20～24歳,17.84,25.75,239.83
2011,39,高知県,25～29歳,19.86,42.53,280.85
2011,39,高知県,30～34歳,21.53,49.87,308.23
2011,39,高知県,35～39歳,23.9,60.18,346.98
2011,39,高知県,40～44歳,25.95,67.11,378.51
2011,39,高知県,45～49歳,28.69,72.62,416.9
2011,39,高知県,50～54歳,29.55,74.76,429.36
2011,39,高知県,55～59歳,27.96,64.83,400.35
2011,39,高知県,60～64歳,21.49,40.53,298.41
2011,39,高知県,65～69歳,19.42,18.46,251.5
2011,39,高知県,70歳～,35.38,39.26,463.82
2011,40,福岡県,年齢計,27.01,68.33,392.45
2011,40,福岡県,～19歳,15.64,7.38,195.06
2011,40,福岡県,20～24歳,18.63,26.79,250.35
2011,40,福岡県,25～29歳,21.85,48.42,310.62
2011,40,福岡県,30～34歳,24.03,54.84,343.2
2011,40,福岡県,35～39歳,27.64,75.29,406.97
2011,40,福岡県,40～44歳,30.88,85.98,456.54
2011,40,福岡県,45～49歳,31.28,85.37,460.73
2011,40,福岡県,50～54歳,32.43,96.21,485.37
2011,40,福岡県,55～59歳,32.04,89.81,474.29
2011,40,福岡県,60～64歳,25.66,55.14,363.06
2011,40,福岡県,65～69歳,22.28,28.43,295.79
2011,40,福岡県,70歳～,19.33,34.04,266
2011,41,佐賀県,年齢計,24.04,58.17,346.65
2011,41,佐賀県,～19歳,14.74,7.76,184.64
2011,41,佐賀県,20～24歳,17.19,34.19,240.47
2011,41,佐賀県,25～29歳,19.68,47.1,283.26
2011,41,佐賀県,30～34歳,21.83,54.52,316.48
2011,41,佐賀県,35～39歳,24.77,63.81,361.05
2011,41,佐賀県,40～44歳,27.07,74.1,398.94
2011,41,佐賀県,45～49歳,27.76,71.06,404.18
2011,41,佐賀県,50～54歳,28.9,73.11,419.91
2011,41,佐賀県,55～59歳,26.86,67.15,389.47
2011,41,佐賀県,60～64歳,20.78,32.27,281.63
2011,41,佐賀県,65～69歳,19.8,17.5,255.1
2011,41,佐賀県,70歳～,19.31,29.33,261.05
2011,42,長崎県,年齢計,23.64,59.28,342.96
2011,42,長崎県,～19歳,14.64,10.11,185.79
2011,42,長崎県,20～24歳,16.81,29.34,231.06
2011,42,長崎県,25～29歳,19.21,43.7,274.22
2011,42,長崎県,30～34歳,21.9,55.52,318.32
2011,42,長崎県,35～39歳,24.06,64.79,353.51
2011,42,長崎県,40～44歳,26.94,74.54,397.82
2011,42,長崎県,45～49歳,27.68,75.59,407.75
2011,42,長崎県,50～54歳,26.36,66.96,383.28
2011,42,長崎県,55～59歳,27,77.36,401.36
2011,42,長崎県,60～64歳,20.94,37.56,288.84
2011,42,長崎県,65～69歳,18.68,21.64,245.8
2011,42,長崎県,70歳～,18.49,27.01,248.89
2011,43,熊本県,年齢計,25.04,61.26,361.74
2011,43,熊本県,～19歳,14.94,6.08,185.36
2011,43,熊本県,20～24歳,17.46,32.33,241.85
2011,43,熊本県,25～29歳,20.52,46.14,292.38
2011,43,熊本県,30～34歳,22.44,55.42,324.7
2011,43,熊本県,35～39歳,27.63,69.69,401.25
2011,43,熊本県,40～44歳,27.37,75.22,403.66
2011,43,熊本県,45～49歳,29.07,76.94,425.78
2011,43,熊本県,50～54歳,29.7,81.57,437.97
2011,43,熊本県,55～59歳,26.35,63.89,380.09
2011,43,熊本県,60～64歳,24.48,41.38,335.14
2011,43,熊本県,65～69歳,21.32,37.67,293.51
2011,43,熊本県,70歳～,14.63,17.08,192.64
2011,44,大分県,年齢計,23.93,56.34,343.5
2011,44,大分県,～19歳,15.36,8.81,193.13
2011,44,大分県,20～24歳,17.25,35.23,242.23
2011,44,大分県,25～29歳,19.48,45.07,278.83
2011,44,大分県,30～34歳,22.64,52.44,324.12
2011,44,大分県,35～39歳,24.85,60.52,358.72
2011,44,大分県,40～44歳,27.1,66.95,392.15
2011,44,大分県,45～49歳,28.35,75.71,415.91
2011,44,大分県,50～54歳,27.51,72.88,403
2011,44,大分県,55～59歳,27.96,66,401.52
2011,44,大分県,60～64歳,21.37,37.41,293.85
2011,44,大分県,65～69歳,19.33,24.14,256.1
2011,44,大分県,70歳～,16.05,19.67,212.27
2011,45,宮崎県,年齢計,23.24,55.69,334.57
2011,45,宮崎県,～19歳,14.43,9.79,182.95
2011,45,宮崎県,20～24歳,16.98,30.88,234.64
2011,45,宮崎県,25～29歳,19.44,43.36,276.64
2011,45,宮崎県,30～34歳,21.9,54.2,317
2011,45,宮崎県,35～39歳,23.51,60.5,342.62
2011,45,宮崎県,40～44歳,25.7,69.17,377.57
2011,45,宮崎県,45～49歳,26.5,67.61,385.61
2011,45,宮崎県,50～54歳,26.68,69.52,389.68
2011,45,宮崎県,55～59歳,26.37,66.09,382.53
2011,45,宮崎県,60～64歳,20.65,30.45,278.25
2011,45,宮崎県,65～69歳,21.57,30.41,289.25
2011,45,宮崎県,70歳～,18.95,18.68,246.08
2011,46,鹿児島県,年齢計,23.87,55.88,342.32
2011,46,鹿児島県,～19歳,14.42,8.72,181.76
2011,46,鹿児島県,20～24歳,17.28,30.79,238.15
2011,46,鹿児島県,25～29歳,19.63,43.73,279.29
2011,46,鹿児島県,30～34歳,22.25,51.2,318.2
2011,46,鹿児島県,35～39歳,24.81,60.75,358.47
2011,46,鹿児島県,40～44歳,26.72,66.63,387.27
2011,46,鹿児島県,45～49歳,27.43,74.44,403.6
2011,46,鹿児島県,50～54歳,27.94,74.07,409.35
2011,46,鹿児島県,55～59歳,25.13,57.56,359.12
2011,46,鹿児島県,60～64歳,20.43,34.55,279.71
2011,46,鹿児島県,65～69歳,19.13,25.49,255.05
2011,46,鹿児島県,70歳～,40.95,41.03,532.43
2011,47,沖縄県,年齢計,21.95,37.87,301.27
2011,47,沖縄県,～19歳,13.38,2.57,163.13
2011,47,沖縄県,20～24歳,15.05,12.84,193.44
2011,47,沖縄県,25～29歳,17.44,26.22,235.5
2011,47,沖縄県,30～34歳,19.89,31.92,270.6
2011,47,沖縄県,35～39歳,21.65,39.78,299.58
2011,47,沖縄県,40～44歳,24.51,47.59,341.71
2011,47,沖縄県,45～49歳,27.62,56.23,387.67
2011,47,沖縄県,50～54歳,25.83,53.2,363.16
2011,47,沖縄県,55～59歳,26.63,48.83,368.39
2011,47,沖縄県,60～64歳,21.52,24.66,282.9
2011,47,沖縄県,65～69歳,15.44,13.81,199.09
2011,47,沖縄県,70歳～,15.19,3.14,185.42
2012,01,北海道,年齢計,25.12,50.9,352.34
2012,01,北海道,～19歳,15.2,6.77,189.17
2012,01,北海道,20～24歳,17.26,25.4,232.52
2012,01,北海道,25～29歳,20.1,42.1,283.3
2012,01,北海道,30～34歳,22.71,46.71,319.23
2012,01,北海道,35～39歳,25.05,49.79,350.39
2012,01,北海道,40～44歳,25.4,50.27,355.07
2012,01,北海道,45～49歳,30.5,67.64,433.64
2012,01,北海道,50～54歳,31.21,81.5,456.02
2012,01,北海道,55～59歳,31.05,63.98,436.58
2012,01,北海道,60～64歳,22.05,31.12,295.72
2012,01,北海道,65～69歳,19.37,15.82,248.26
2012,01,北海道,70歳～,21.26,23.59,278.71
2012,02,青森県,年齢計,22.67,48.69,320.73
2012,02,青森県,～19歳,14.81,9.38,187.1
2012,02,青森県,20～24歳,16.64,30.63,230.31
2012,02,青森県,25～29歳,19.02,39.9,268.14
2012,02,青森県,30～34歳,20.68,44.84,293
2012,02,青森県,35～39歳,22.16,48.39,314.31
2012,02,青森県,40～44歳,24.55,56.86,351.46
2012,02,青森県,45～49歳,26.24,63.04,377.92
2012,02,青森県,50～54歳,26.01,61.32,373.44
2012,02,青森県,55～59歳,25.94,53.91,365.19
2012,02,青森県,60～64歳,20.06,28.21,268.93
2012,02,青森県,65～69歳,16.29,12.27,207.75
2012,02,青森県,70歳～,19.41,28.18,261.1
2012,03,岩手県,年齢計,22.96,46.72,322.24
2012,03,岩手県,～19歳,15.18,6.99,189.15
2012,03,岩手県,20～24歳,16.86,24.78,227.1
2012,03,岩手県,25～29歳,18.89,37.38,264.06
2012,03,岩手県,30～34歳,21.03,42.34,294.7
2012,03,岩手県,35～39歳,23.37,49.8,330.24
2012,03,岩手県,40～44歳,25.2,57.22,359.62
2012,03,岩手県,45～49歳,26.25,58.2,373.2
2012,03,岩手県,50～54歳,26.17,59.32,373.36
2012,03,岩手県,55～59歳,25.12,52.1,353.54
2012,03,岩手県,60～64歳,21.21,30.81,285.33
2012,03,岩手県,65～69歳,20.34,14.67,258.75
2012,03,岩手県,70歳～,19.98,10.24,250
2012,04,宮城県,年齢計,26.67,61.67,381.71
2012,04,宮城県,～19歳,15.93,8.25,199.41
2012,04,宮城県,20～24歳,18.21,27.2,245.72
2012,04,宮城県,25～29歳,20.46,40.33,285.85
2012,04,宮城県,30～34歳,23.15,51.23,329.03
2012,04,宮城県,35～39歳,27.09,62.62,387.7
2012,04,宮城県,40～44歳,29.59,74.28,429.36
2012,04,宮城県,45～49歳,31.33,86.35,462.31
2012,04,宮城県,50～54歳,32.08,83.26,468.22
2012,04,宮城県,55～59歳,31.6,76.91,456.11
2012,04,宮城県,60～64歳,23.75,38.95,323.95
2012,04,宮城県,65～69歳,25.38,34.59,339.15
2012,04,宮城県,70歳～,21.59,19.77,278.85
2012,05,秋田県,年齢計,23.43,47.52,328.68
2012,05,秋田県,～19歳,17.53,8.78,219.14
2012,05,秋田県,20～24歳,16.92,25.44,228.48
2012,05,秋田県,25～29歳,18.68,33.33,257.49
2012,05,秋田県,30～34歳,21.14,39.24,292.92
2012,05,秋田県,35～39歳,23.79,52.97,338.45
2012,05,秋田県,40～44歳,25.05,58.55,359.15
2012,05,秋田県,45～49歳,26.57,63.01,381.85
2012,05,秋田県,50～54歳,27.06,62.03,386.75
2012,05,秋田県,55～59歳,26.5,53.26,371.26
2012,05,秋田県,60～64歳,20.21,21.35,263.87
2012,05,秋田県,65～69歳,20.38,15.55,260.11
2012,05,秋田県,70歳～,34.63,18.53,434.09
2012,06,山形県,年齢計,23.87,50.17,336.61
2012,06,山形県,～19歳,15.26,6.75,189.87
2012,06,山形県,20～24歳,17.36,24.03,232.35
2012,06,山形県,25～29歳,19.18,34.89,265.05
2012,06,山形県,30～34歳,20.96,41.9,293.42
2012,06,山形県,35～39歳,24.35,55.53,347.73
2012,06,山形県,40～44歳,26.12,62.82,376.26
2012,06,山形県,45～49歳,27.65,65.44,397.24
2012,06,山形県,50～54歳,27.65,62.46,394.26
2012,06,山形県,55～59歳,27.41,58.85,387.77
2012,06,山形県,60～64歳,20.95,37.51,288.91
2012,06,山形県,65～69歳,26.33,23.46,339.42
2012,06,山形県,70歳～,39.39,44.88,517.56
2012,07,福島県,年齢計,25.02,59.21,359.45
2012,07,福島県,～19歳,15.33,8.27,192.23
2012,07,福島県,20～24歳,17.79,31.42,244.9
2012,07,福島県,25～29歳,20.29,41.78,285.26
2012,07,福島県,30～34歳,23.07,56.95,333.79
2012,07,福島県,35～39歳,25.62,64.99,372.43
2012,07,福島県,40～44歳,26.81,70.06,391.78
2012,07,福島県,45～49歳,28.82,78.37,424.21
2012,07,福島県,50～54歳,28.98,74.31,422.07
2012,07,福島県,55～59歳,29.23,70,420.76
2012,07,福島県,60～64歳,22.31,29.68,297.4
2012,07,福島県,65～69歳,21.86,21.9,284.22
2012,07,福島県,70歳～,24.39,25.03,317.71
2012,08,茨城県,年齢計,28.89,84.27,430.95
2012,08,茨城県,～19歳,17.33,11.78,219.74
2012,08,茨城県,20～24歳,19.42,42.49,275.53
2012,08,茨城県,25～29歳,22.72,62.25,334.89
2012,08,茨城県,30～34歳,25.66,72.4,380.32
2012,08,茨城県,35～39歳,28.85,82.4,428.6
2012,08,茨城県,40～44歳,31.83,101.61,483.57
2012,08,茨城県,45～49歳,34.59,120.26,535.34
2012,08,茨城県,50～54歳,35.82,113.16,543
2012,08,茨城県,55～59歳,34.45,107.93,521.33
2012,08,茨城県,60～64歳,25.37,43.06,347.5
2012,08,茨城県,65～69歳,20.93,27.77,278.93
2012,08,茨城県,70歳～,23.7,22.46,306.86
2012,09,栃木県,年齢計,28.15,79.78,417.58
2012,09,栃木県,～19歳,17.04,12.42,216.9
2012,09,栃木県,20～24歳,19.38,35.74,268.3
2012,09,栃木県,25～29歳,22.75,55.25,328.25
2012,09,栃木県,30～34歳,25.06,65.94,366.66
2012,09,栃木県,35～39歳,28.12,81.07,418.51
2012,09,栃木県,40～44歳,31.12,96.57,470.01
2012,09,栃木県,45～49歳,34.24,117.45,528.33
2012,09,栃木県,50～54歳,34.36,112.04,524.36
2012,09,栃木県,55～59歳,33.76,103.78,508.9
2012,09,栃木県,60～64歳,22.53,36.98,307.34
2012,09,栃木県,65～69歳,22.91,27.43,302.35
2012,09,栃木県,70歳～,22.71,27.4,299.92
2012,10,群馬県,年齢計,27.61,71.56,402.88
2012,10,群馬県,～19歳,17.56,17.2,227.92
2012,10,群馬県,20～24歳,19.09,35.69,264.77
2012,10,群馬県,25～29歳,21.95,54.93,318.33
2012,10,群馬県,30～34歳,24.72,62.74,359.38
2012,10,群馬県,35～39歳,27.93,79.02,414.18
2012,10,群馬県,40～44歳,30.35,87.09,451.29
2012,10,群馬県,45～49歳,32.38,95.42,483.98
2012,10,群馬県,50～54歳,34.03,97.43,505.79
2012,10,群馬県,55～59歳,30.87,78.06,448.5
2012,10,群馬県,60～64歳,24.83,44.06,342.02
2012,10,群馬県,65～69歳,27.49,21.6,351.48
2012,10,群馬県,70歳～,21.3,31.76,287.36
2012,11,埼玉県,年齢計,29.54,69.16,423.64
2012,11,埼玉県,～19歳,17.31,11.82,219.54
2012,11,埼玉県,20～24歳,20.02,36.49,276.73
2012,11,埼玉県,25～29歳,23.13,52.86,330.42
2012,11,埼玉県,30～34歳,27.2,64,390.4
2012,11,埼玉県,35～39歳,30.22,76.95,439.59
2012,11,埼玉県,40～44歳,31.53,76.56,454.92
2012,11,埼玉県,45～49歳,33.22,84.91,483.55
2012,11,埼玉県,50～54歳,34.84,100.07,518.15
2012,11,埼玉県,55～59歳,34.69,78.14,494.42
2012,11,埼玉県,60～64歳,27.96,39.97,375.49
2012,11,埼玉県,65～69歳,27.68,23.77,355.93
2012,11,埼玉県,70歳～,25.39,28.08,332.76
2012,12,千葉県,年齢計,29,76.01,424.01
2012,12,千葉県,～19歳,17.75,9.45,222.45
2012,12,千葉県,20～24歳,20.33,37.16,281.12
2012,12,千葉県,25～29歳,23.12,57.2,334.64
2012,12,千葉県,30～34歳,26.26,66.99,382.11
2012,12,千葉県,35～39歳,29.12,76.66,426.1
2012,12,千葉県,40～44歳,31.95,93.6,477
2012,12,千葉県,45～49歳,35.93,106.45,537.61
2012,12,千葉県,50～54歳,34.63,101.79,517.35
2012,12,千葉県,55～59歳,33.86,90,496.32
2012,12,千葉県,60～64歳,26.42,56.22,373.26
2012,12,千葉県,65～69歳,25.09,40.85,341.93
2012,12,千葉県,70歳～,24.37,30.05,322.49
2012,13,東京都,年齢計,36.26,105.9,541.02
2012,13,東京都,～19歳,17.35,6.96,215.16
2012,13,東京都,20～24歳,21.18,31.17,285.33
2012,13,東京都,25～29歳,25.12,63.76,365.2
2012,13,東京都,30～34歳,29.81,79.92,437.64
2012,13,東京都,35～39歳,35.34,101.66,525.74
2012,13,東京都,40～44歳,40.91,131.62,622.54
2012,13,東京都,45～49歳,47.08,152.92,717.88
2012,13,東京都,50～54歳,50.72,172.01,780.65
2012,13,東京都,55～59歳,46.46,148.77,706.29
2012,13,東京都,60～64歳,31.35,64.12,440.32
2012,13,東京都,65～69歳,27.88,41.72,376.28
2012,13,東京都,70歳～,29.25,33.53,384.53
2012,14,神奈川県,年齢計,32.49,92.84,482.72
2012,14,神奈川県,～19歳,17.94,11.12,226.4
2012,14,神奈川県,20～24歳,20.96,32.76,284.28
2012,14,神奈川県,25～29歳,24.79,63.05,360.53
2012,14,神奈川県,30～34歳,28.58,75.54,418.5
2012,14,神奈川県,35～39歳,32.25,94.75,481.75
2012,14,神奈川県,40～44歳,35.62,110.93,538.37
2012,14,神奈川県,45～49歳,40.13,130.86,612.42
2012,14,神奈川県,50～54歳,41.99,134.96,638.84
2012,14,神奈川県,55～59歳,39.5,126.59,600.59
2012,14,神奈川県,60～64歳,27.55,56.03,386.63
2012,14,神奈川県,65～69歳,24.57,28.8,323.64
2012,14,神奈川県,70歳～,26.26,21.53,336.65
2012,15,新潟県,年齢計,25.68,62.31,370.47
2012,15,新潟県,～19歳,16.28,8.1,203.46
2012,15,新潟県,20～24歳,18.44,30.69,251.97
2012,15,新潟県,25～29歳,20.63,48.35,295.91
2012,15,新潟県,30～34歳,23.01,55.19,331.31
2012,15,新潟県,35～39歳,25.04,64.54,365.02
2012,15,新潟県,40～44歳,26.86,72.63,394.95
2012,15,新潟県,45～49歳,29.09,79.63,428.71
2012,15,新潟県,50～54歳,30.26,81.91,445.03
2012,15,新潟県,55～59歳,30.05,76.52,437.12
2012,15,新潟県,60～64歳,24.58,34.03,328.99
2012,15,新潟県,65～69歳,24.71,16.23,312.75
2012,15,新潟県,70歳～,39.07,8.91,477.75
2012,16,富山県,年齢計,26.68,76,396.16
2012,16,富山県,～19歳,16.77,9.95,211.19
2012,16,富山県,20～24歳,18.94,42.88,270.16
2012,16,富山県,25～29歳,21.38,63.18,319.74
2012,16,富山県,30～34歳,24.37,73.7,366.14
2012,16,富山県,35～39歳,26.74,84.74,405.62
2012,16,富山県,40～44歳,28.79,90.47,435.95
2012,16,富山県,45～49歳,31.5,94.93,472.93
2012,16,富山県,50～54歳,31.29,91.74,467.22
2012,16,富山県,55～59歳,31.69,86.34,466.62
2012,16,富山県,60～64歳,23.09,42.94,320.02
2012,16,富山県,65～69歳,20.84,20.41,270.49
2012,16,富山県,70歳～,28.44,42.15,383.43
2012,17,石川県,年齢計,26.55,67.36,385.96
2012,17,石川県,～19歳,16,8.79,200.79
2012,17,石川県,20～24歳,18.38,35.7,256.26
2012,17,石川県,25～29歳,21.2,53.34,307.74
2012,17,石川県,30～34歳,24.28,61.96,353.32
2012,17,石川県,35～39歳,26.41,67.46,384.38
2012,17,石川県,40～44歳,28.93,77.57,424.73
2012,17,石川県,45～49歳,31.21,88.15,462.67
2012,17,石川県,50～54歳,32.72,91.24,483.88
2012,17,石川県,55～59歳,31.52,83.29,461.53
2012,17,石川県,60～64歳,23.07,45.46,322.3
2012,17,石川県,65～69歳,23.76,35.1,320.22
2012,17,石川県,70歳～,22.58,22.34,293.3
2012,18,福井県,年齢計,26.78,66.87,388.23
2012,18,福井県,～19歳,17.05,11.88,216.48
2012,18,福井県,20～24歳,18.58,33.78,256.74
2012,18,福井県,25～29歳,21.34,53.43,309.51
2012,18,福井県,30～34歳,24.07,62.53,351.37
2012,18,福井県,35～39歳,26.82,68.7,390.54
2012,18,福井県,40～44歳,29.43,78.08,431.24
2012,18,福井県,45～49歳,31.39,90.67,467.35
2012,18,福井県,50～54歳,31.55,88.73,467.33
2012,18,福井県,55～59歳,30.63,73,440.56
2012,18,福井県,60～64歳,24.73,34.57,331.33
2012,18,福井県,65～69歳,20.91,25.75,276.67
